language,family,macro_region,morphological_synthesis_0_4,suffixing_bias_0_3,head_finality_0_3,dependent_marking_0_3,head_marking_0_3,argument_drop_0_3,evidentiality_0_3,social_deixis_0_3,spatial_directional_encoding_0_3,discourse_participant_tracking_0_3,noun_incorporation_0_3,grammatical_gender_absence_0_1,architecture,notes
Korean,Koreanic,Northeast_Asia,2,3,3,3,0,3,2,3,2,2,0,1,NE_dependent_suffixing,"Case particles; predicate-final stance and honorific endings; extensive zero anaphora"
Japanese,Japonic,Northeast_Asia,2,3,3,3,0,3,1,3,2,2,0,1,NE_dependent_suffixing,"Case particles; strong zero anaphora; social-indexical speech levels"
Mongolian,Mongolic,Inner_Asia,2,3,3,3,1,2,2,2,2,2,0,1,NE_dependent_suffixing,"Suffixing; postpositions; converbs and reported-information morphology"
Turkish,Turkic,West_Central_Asia,2,3,3,3,1,2,3,2,2,1,0,1,NE_dependent_suffixing,"Agglutinative suffix chains; indirect/evidential past; pro-drop"
Finnish,Uralic,Northeast_Europe,2,3,1,3,1,2,1,1,2,1,0,1,Uralic_peripheral,"Rich case and suffixation; freer information-structural order; European contact effects"
Hungarian,Uralic,Central_Europe,2,3,1,3,1,2,1,1,2,1,0,1,Uralic_peripheral,"Rich case; topic-focus-sensitive order; definite/indefinite verbal agreement"
Central Alaskan Yupik,Eskimo-Aleut,Beringia,4,3,2,1,3,3,2,1,3,3,2,1,Beringian_bridge,"Strongly suffixing polysynthesis; high predicate packaging; person-number agreement"
West Greenlandic,Eskimo-Aleut,Arctic_North_America,4,3,2,1,3,3,2,1,3,3,2,1,Beringian_bridge,"Extremely suffixing; polysynthetic word formation; ergative alignment in key domains"
Navajo,Athabaskan,North_America,4,0,1,0,3,3,2,1,3,3,1,1,NA_headmarking_polysynthetic,"Templatic verb; argument indexing; classificatory verb stems; discourse configurationality"
Mohawk,Iroquoian,North_America,4,1,1,0,3,3,1,1,2,3,3,1,NA_headmarking_polysynthetic,"Polysynthetic verb; productive noun incorporation; argument indexing"
Plains Cree,Algonquian,North_America,3,2,2,1,3,3,2,1,2,3,1,0,NA_discourse_tracking,"Direct-inverse system; obviation; animate/inanimate gender; flexible order"
Quechua,Quechuan,Andes,3,3,3,3,1,2,3,2,3,2,0,1,Andean_suffixing_evidential,"Suffixing; switch-reference-like discourse resources; evidential clitics; spatial deixis"
Aymara,Aymaran,Andes,3,3,3,3,1,2,3,2,3,2,0,1,Andean_suffixing_evidential,"Dense suffixal morphology; evidential/epistemic distinctions; SOV and postpositions"
Tariana,Arawakan,Amazonia,4,2,1,2,3,2,3,2,3,3,2,0,Amazonian_areal_polysynthetic,"Areal diffusion in Vaupes; evidentiality; classifiers; serial and polysynthetic structures"
Tuyuca,Tucanoan,Amazonia,3,2,2,1,3,2,3,2,3,3,1,0,Amazonian_evidential_headmarking,"Obligatory multi-term evidential distinctions; person/gender interaction; discourse-rich predicate"
